"Place; Hours; Renewables Coverage"
"Berlin; 1625; 0,387"
"Bremen; 1483; 0,181"
"Hamburg; 1557; 0,25"
"Hannover; 1501; 0,25"
"Kiel; 1627; 0,25"
"Magdeburg; 1609; 0,615"
"Potsdam; 1692; 0,9"
"Rostock; 1687; 1"
"Cologne; 1504; 0,226"
"Dresden; 1581; 0,09"
"Erfurt; 1588; 0,639"
"Essen; 1454; 0,226"
"Fichtelberg; 1516; 0,09"
"Frankfurt; 1586; 0,58"
"Gorlitz; 1649; 0,09"
"Kassel; 1448; 0,58"
"Leipzig; 1502; 0,09"
"Saarbruecken; 1661; 0,2"
"Trier; 1265; 0,373"
"Constance (Konstanz); 1640; 0,34"
"Freiburg; 1740; 0,34"
"Karlsruhe; 1691; 0,34"
"Munich (München); 1709; 0,6"
"Nuremberg (Nürnberg); 1698; 0,6"
"Oberstdorf; 1494; 0,6"
"Regensburg; 1646; 0,6"
"Stuttgart; 1692; 0,34"
"Zugspitze; 1846; 0,6"
